name,release_date,total_tracks
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31
THE TORTURED POETS DEPARTMENT,2024-04-18,16
1989 (Taylor's Version) [Deluxe],2023-10-27,22
1989 (Taylor's Version),2023-10-26,21
Speak Now (Taylor's Version),2023-07-07,22
Midnights (The Til Dawn Edition),2023-05-26,23
Midnights (3am Edition),2022-10-22,20
Midnights,2022-10-21,13
Red (Taylor's Version),2021-11-12,30
Fearless (Taylor's Version),2021-04-09,26
evermore (deluxe version),2021-01-07,17
evermore,2020-12-11,15
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,34
folklore (deluxe version),2020-08-18,17
folklore,2020-07-24,16
Lover,2019-08-23,18
reputation,2017-11-10,15
reputation Stadium Tour Surprise Song Playlist,2017-11-09,46
1989 (Deluxe),2014-01-01,19
1989,2014-01-01,13
Red (Deluxe Edition),2012-10-22,22
Red,2012-10-22,16
Speak Now World Tour Live,2010-10-25,16
Speak Now,2010-10-25,14
Speak Now (Deluxe Package),2010-01-01,22
Fearless (Platinum Edition),2008-11-11,19
Fearless (International Version),2008-11-11,16
Live From Clear Channel Stripped 2008,2008-06-28,8
Taylor Swift (Deluxe Edition),2006-10-24,15
Anti-Hero (feat. Bleachers),2022-11-08,2
Carolina (From The Motion Picture “Where The Crawdads Sing”),2022-06-24,2
All Too Well (10 Minute Version) (The Short Film),2022-06-11,1
This Love (Taylor’s Version),2022-05-06,2
The Joker And The Queen (feat. Taylor Swift),2022-02-11,1
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),2022-01-21,2
Christmas Tree Farm (Old Timey Version),2021-11-22,1
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,2021-11-18,1
The More Red (Taylor’s Version) Chapter,2021-11-12,6
Safe & Sound (Taylor's Version),2021-11-12,1
Eyes Open (Taylor's Version),2021-11-12,1
Wildest Dreams (Taylor's Version),2021-09-17,1
Renegade (Pop Version),2021-08-17,1
the lakes (original version),2021-07-24,1
willow (90's trend remix),2021-06-14,1
The More Fearless (Taylor’s Version) Chapter,2021-04-09,5
If This Was A Movie (Taylor’s Version),2021-04-09,1
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2021-04-07,1
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),2021-03-26,1
Love Story (Taylor's Version) [Elvira Remix],2021-03-23,1
Love Story (Taylor’s Version),2021-02-12,1
Christmas Tree Farm (Recorded Live at the 2019 iHeartRadio Jingle Ball),2020-12-19,1
willow (the witch collection),2020-12-16,4
willow (moonlit witch version),2020-12-16,1
willow (lonely witch version),2020-12-15,1
willow [dancing witch version (Elvira remix)],2020-12-13,1
betty (Live from the 2020 Academy of Country Music Awards),2020-09-18,1
cardigan (cabin in candlelight version),2020-07-30,1
Cornelia Street (Live From Paris),2020-05-18,1
You Need To Calm Down (Live From Paris),2020-05-17,1
The Archer (Live From Paris),2020-05-17,1
ME! (Live From Paris),2020-05-17,1
Lover (Live From Paris),2020-05-17,1
Death By A Thousand Cuts (Live From Paris),2020-05-17,1
Daylight (Live From Paris),2020-05-17,1
The Man (Live From Paris),2020-02-18,1
You're Not Sorry (CSI Remix),2020-02-07,1
Love Story (Pop Mix),2020-02-07,1
Love Story (Digital Dog Remix),2020-02-07,1
Only The Young (Featured in Miss Americana),2020-01-31,1
Christmas Tree Farm,2019-12-06,1
Lover (First Dance Remix),2019-11-26,1
Lover (Remix) [feat. Shawn Mendes],2019-11-13,1
All Of The Girls You Loved Before,2019-08-23,1
You Need To Calm Down (Clean Bandit Remix),2019-08-20,1
Delicate (Seeb Remix),2018-06-08,1
Delicate (Sawyr And Ryan Tedder Mix),2018-05-25,1
Spotify Singles,2018-04-13,2
...Ready For It? (BloodPop® Remix),2017-12-01,1
Bad Blood,2015-05-17,1
Wildest Dreams (R3hab Remix),2015-01-01,1
Sweeter Than Fiction,2013-10-21,1
Everything Has Changed (Remix),2013-01-01,1
Ronan,2012-09-08,1
Today Was A Fairytale,2011-02-15,1
The Taylor Swift Holiday Collection,2008-12-02,6
How Long Do You Think It's Gonna Last?,2021-08-27,15
Love Drunk,2009-09-07,11
Strange Clouds,2012-04-30,15
